tray,part,type,description
1,0,False,Notch is missing
1,1,True,
1,2,False,Hole in the middle
1,3,True,
1,4,False,Hole in the middle
1,5,True,
1,6,True,
1,7,True,
1,8,True,
1,9,True,
1,10,False,Half split by width including notch
1,11,False,Half split by width including hole
2,0,False,No part found
2,1,False,Half split by length with notch
2,2,True,
2,3,True,
2,4,True,
2,5,True,
2,6,False,Half split by width including hole
2,7,True,
2,8,True,
2,9,False,Half split by width including notch
2,10,True,
2,11,False,Half split by length without notch
3,0,False,Notch is missing
3,1,True,
3,2,False,Hole in the middle
3,3,True,
3,4,False,Hole in the middle
3,5,True,
3,6,True,
3,7,True,
3,8,True,
3,9,True,
3,10,False,Half split by width including notch
3,11,False,Half split by width with hole filled
4,0,True,
4,1,False,Half split by length with notch
4,2,True,
4,3,True,
4,4,True,
4,5,True,
4,6,False,Half split by width including hole
4,7,False,Notch on its own
4,8,True,
4,9,False,Half split by width including notch
4,10,True,
4,11,False,Half split by length without notch
5,0,False,Notch is missing
5,1,True,
5,2,False,Hole in the middle
5,3,False,The hole is filled
5,4,False,Hole in the middle
5,5,True,
5,6,True,
5,7,True,
5,8,True,
5,9,True,
5,10,False,Half split by width including notch
5,11,False,Half split by width including hole
6,0,False,Unknown Failure Reason
6,1,False,Half split by length with notch
6,2,True,
6,3,True,
6,4,True,
6,5,False,The hole is filled
6,6,False,Half split by width including hole
6,7,False,No part found
6,8,True,
6,9,False,Half split by width including notch
6,10,True,
6,11,False,Half split by length without notch
7,0,False,Notch is missing
7,1,True,
7,2,False,Hole in the middle
7,3,True,
7,4,False,Hole in the middle
7,5,True,
7,6,True,
7,7,True,
7,8,True,
7,9,True,
7,10,False,Half split by width including notch
7,11,False,Half split by width including hole
8,0,True,
8,1,False,Half split by length with notch
8,2,True,
8,3,True,
8,4,True,
8,5,False,Notch on its own
8,6,False,Half split by width with hole filled
8,7,True,
8,8,True,
8,9,False,Half split by width including notch
8,10,True,
8,11,False,Half split by length without notch
9,0,False,Unknown Failure Reason
9,1,False,Half split by length with notch
9,2,True,
9,3,False,Unknown Failure Reason
9,4,False,The hole is filled
9,5,False,No part found
9,6,False,Half split by width including hole
9,7,True,
9,8,True,
9,9,False,Half split by width including notch
9,10,True,
9,11,False,Half split by length without notch
10,0,False,Notch is missing and hole is filled
10,1,True,
10,2,False,Unknown Failure Reason
10,3,True,
10,4,False,Hole in the middle
10,5,True,
10,6,False,No part found
10,7,True,
10,8,True,
10,9,True,
10,10,False,No part found
10,11,False,Half split by width including hole
