tray,part,type,description
0,0,False,Hole in the middle
0,1,True,
0,2,True,
0,3,True,
0,4,True,
0,5,True,
0,6,True,
0,7,True,
0,8,True,
0,9,True,
0,10,False,No part found
0,11,False,Half split by length with notch
1,0,False,Hole in the middle
1,1,True,
1,2,True,
1,3,True,
1,4,True,
1,5,True,
1,6,True,
1,7,True,
1,8,True,
1,9,True,
1,10,False,No part found
1,11,False,Half split by length with notch
2,0,False,Hole in the middle
2,1,True,
2,2,True,
2,3,True,
2,4,True,
2,5,True,
2,6,True,
2,7,True,
2,8,True,
2,9,True,
2,10,False,No part found
2,11,False,Half split by length with notch
3,0,False,Hole in the middle
3,1,True,
3,2,True,
3,3,True,
3,4,True,
3,5,True,
3,6,False,No part found
3,7,True,
3,8,True,
3,9,True,
3,10,False,No part found
3,11,False,Half split by length with notch
7,0,False,No part found
7,1,False,No part found
7,2,False,No part found
7,3,False,No part found
7,4,True,
7,5,True,
7,6,False,No part found
7,7,True,
7,8,True,
7,9,False,No part found
7,10,True,
7,11,True,
8,0,False,No part found
8,1,False,No part found
8,2,False,No part found
8,3,False,No part found
8,4,True,
8,5,True,
8,6,False,No part found
8,7,True,
8,8,True,
8,9,False,No part found
8,10,True,
8,11,True,
9,0,False,No part found
9,1,False,No part found
9,2,False,No part found
9,3,False,No part found
9,4,True,
9,5,True,
9,6,False,No part found
9,7,True,
9,8,True,
9,9,False,No part found
9,10,True,
9,11,True,
10,0,True,
10,1,True,
10,2,True,
10,3,True,
10,4,True,
10,5,True,
10,6,True,
10,7,True,
10,8,True,
10,9,True,
10,10,True,
10,11,True,
11,0,True,
11,1,True,
11,2,True,
11,3,True,
11,4,True,
11,5,True,
11,6,True,
11,7,True,
11,8,True,
11,9,True,
11,10,True,
11,11,True,
12,0,True,
12,1,True,
12,2,True,
12,3,True,
12,4,True,
12,5,True,
12,6,True,
12,7,True,
12,8,True,
12,9,True,
12,10,True,
12,11,True,
13,0,True,
13,1,True,
13,2,True,
13,3,True,
13,4,True,
13,5,True,
13,6,True,
13,7,False,No part found
13,8,True,
13,9,True,
13,10,True,
13,11,True,
14,0,True,
14,1,True,
14,2,True,
14,3,True,
14,4,True,
14,5,True,
14,6,True,
14,7,False,No part found
14,8,True,
14,9,True,
14,10,True,
14,11,True,
15,0,True,
15,1,True,
15,2,True,
15,3,True,
15,4,True,
15,5,True,
15,6,True,
15,7,False,No part found
15,8,True,
15,9,True,
15,10,True,
15,11,True,
16,0,True,
16,1,True,
16,2,True,
16,3,True,
16,4,True,
16,5,True,
16,6,True,
16,7,True,
16,8,True,
16,9,True,
16,10,True,
16,11,False,No part found
17,0,True,
17,1,True,
17,2,True,
17,3,True,
17,4,True,
17,5,True,
17,6,True,
17,7,True,
17,8,True,
17,9,True,
17,10,True,
17,11,False,No part found
18,0,True,
18,1,True,
18,2,True,
18,3,True,
18,4,True,
18,5,True,
18,6,True,
18,7,True,
18,8,True,
18,9,True,
18,10,True,
18,11,False,No part found
19,0,True,
19,1,True,
19,2,True,
19,3,True,
19,4,True,
19,5,True,
19,6,True,
19,7,True,
19,8,True,
19,9,True,
19,10,True,
19,11,False,No part found
20,0,True,
20,1,True,
20,2,True,
20,3,True,
20,4,True,
20,5,True,
20,6,True,
20,7,True,
20,8,True,
20,9,True,
20,10,False,Straight piece
20,11,True,
21,0,True,
21,1,True,
21,2,True,
21,3,True,
21,4,True,
21,5,True,
21,6,True,
21,7,True,
21,8,True,
21,9,True,
21,10,False,Straight piece
21,11,True,
22,0,True,
22,1,True,
22,2,True,
22,3,True,
22,4,True,
22,5,True,
22,6,True,
22,7,True,
22,8,True,
22,9,True,
22,10,False,Straight piece
22,11,True,
23,0,True,
23,1,True,
23,2,True,
23,3,True,
23,4,True,
23,5,True,
23,6,True,
23,7,True,
23,8,True,
23,9,True,
23,10,False,Straight piece
23,11,True,
24,0,True,
24,1,True,
24,2,True,
24,3,True,
24,4,False,The hole is filled
24,5,True,
24,6,True,
24,7,True,
24,8,True,
24,9,True,
24,10,True,
24,11,True,
25,0,True,
25,1,True,
25,2,True,
25,3,True,
25,4,False,The hole is filled
25,5,True,
25,6,True,
25,7,True,
25,8,True,
25,9,True,
25,10,True,
25,11,True,
26,0,True,
26,1,True,
26,2,True,
26,3,True,
26,4,True,
26,5,True,
26,6,False,Half split by length without notch
26,7,True,
26,8,True,
26,9,True,
26,10,True,
26,11,True,
27,0,True,
27,1,True,
27,2,True,
27,3,True,
27,4,True,
27,5,True,
27,6,False,Half split by length without notch
27,7,True,
27,8,True,
27,9,True,
27,10,True,
27,11,True,
28,0,True,
28,1,True,
28,2,True,
28,3,True,
28,4,True,
28,5,True,
28,6,False,Half split by length without notch
28,7,True,
28,8,True,
28,9,True,
28,10,True,
28,11,True,
29,0,True,
29,1,True,
29,2,True,
29,3,True,
29,4,True,
29,5,True,
29,6,False,Half split by length without notch
29,7,True,
29,8,True,
29,9,True,
29,10,True,
29,11,True,
30,0,True,
30,1,True,
30,2,True,
30,3,True,
30,4,True,
30,5,True,
30,6,False,Half split by length without notch
30,7,True,
30,8,True,
30,9,True,
30,10,True,
30,11,True,
31,0,True,
31,1,True,
31,2,True,
31,3,True,
31,4,True,
31,5,True,
31,6,True,
31,7,True,
31,8,True,
31,9,True,
31,10,True,
31,11,False,Hole in the middle
32,0,True,
32,1,True,
32,2,True,
32,3,True,
32,4,True,
32,5,True,
32,6,True,
32,7,True,
32,8,True,
32,9,True,
32,10,True,
32,11,False,Hole in the middle
33,0,True,
33,1,True,
33,2,True,
33,3,True,
33,4,True,
33,5,True,
33,6,True,
33,7,True,
33,8,True,
33,9,True,
33,10,True,
33,11,False,Hole in the middle and other hole filled
34,0,True,
34,1,True,
34,2,True,
34,3,True,
34,4,True,
34,5,True,
34,6,True,
34,7,True,
34,8,False,Notch on its own
34,9,True,
34,10,True,
34,11,False,Notch is missing
35,0,True,
35,1,True,
35,2,True,
35,3,True,
35,4,True,
35,5,True,
35,6,True,
35,7,True,
35,8,False,Notch on its own
35,9,True,
35,10,True,
35,11,False,Notch is missing
36,0,True,
36,1,True,
36,2,True,
36,3,True,
36,4,True,
36,5,True,
36,6,True,
36,7,True,
36,8,False,No part found
36,9,True,
36,10,True,
36,11,False,Notch is missing and hole is filled
37,0,True,
37,1,True,
37,2,True,
37,3,True,
37,4,True,
37,5,True,
37,6,True,
37,7,True,
37,8,False,No part found
37,9,True,
37,10,True,
37,11,False,Notch is missing and hole is filled
38,0,True,
38,1,True,
38,2,True,
38,3,True,
38,4,True,
38,5,True,
38,6,True,
38,7,True,
38,8,False,No part found
38,9,True,
38,10,True,
38,11,False,Notch is missing and hole is filled
39,0,True,
39,1,True,
39,2,True,
39,3,True,
39,4,True,
39,5,True,
39,6,True,
39,7,True,
39,8,False,No part found
39,9,True,
39,10,True,
39,11,False,Notch is missing and hole is filled
40,0,True,
40,1,True,
40,2,True,
40,3,True,
40,4,True,
40,5,True,
40,6,True,
40,7,True,
